establishment_name,category,system_of_medicine,address,district,certificate_number,certificate_validity,page_number,source,scraped_at
Svastii,Clinic/Polyclinic Only Consultation,Allopathy,"967, first floor, first block, BTM 4th stage",,BLU02727ALCOC,07 Dec 2026,8,KPME Karnataka Portal,2026-01-19T09:50:41.960258
Veerabhadragowda P B,Clinic/Polyclinic Only Consultation,Ayurveda,"Bank Road, Mahadevapura Village, Srirangapatna Taluk",,MAN00179AYCOC,20 Oct 2026,8,KPME Karnataka Portal,2026-01-19T09:50:42.057103
KAMALA ULTRASOUND SCAN CENTRE,Diagnostic Imaging Centre,Allopathy,"KAMALA ULTRASOUND SCAN CENTRE, NEAR KANAKA CIRCLE, HOLALKERE ROAD, CHITRADURGA 577501",CHITRADURGA,CTR00182ALDIC,10 Mar 2027,8,KPME Karnataka Portal,2026-01-19T09:50:42.109984
MUGDHA ULTRASOUND SCAN CENTRE,Diagnostic Imaging Centre,Allopathy,"MUGDHA ULTRASOUND SCAN CENTRE, GROUND FLOOR ZILLA YADAVA GOLLARA SANGHA BUILDING, NEAR RANGAYYANA BAGILU, CHITRADURGA 577501",CHITRADURGA,CTR00188ALDIC,14 Mar 2027,8,KPME Karnataka Portal,2026-01-19T09:50:42.172304
NOBLE CLINIC,Clinic/Polyclinic Only Consultation,Unani,"K LAKSHMI NARAYAN REDDY BUILDING, HARLUR MAIN ROAD , HARLUR BANGALORE-560102",BANGALORE,BLU04259UNCOC,14 Feb 2028,8,KPME Karnataka Portal,2026-01-19T09:50:42.263006
JAJEE CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,SHOP NO-4-1145GF ATTAR BAZAR MAKTAMPUR KALABURAGI-585101,KALABURAGI,GLB01177ALCOC,02 Jul 2029,8,KPME Karnataka Portal,2026-01-19T09:50:42.360880
Skin and V D Clinic,Clinic/Polyclinic with Dispensary,Allopathy,"K P Complex, Main Road Puttur",,DKA00770ALCWD,31 Mar 2027,8,KPME Karnataka Portal,2026-01-19T09:50:42.446786
Sri kantesh hospital and orthopedic and trauma care center,Hospital (Level 1A),Allopathy,"no.1/b 1st cross Rajendra nagar, PB road haveri 58110",HAVERI,HVR00377ALH1A,19 Jul 2027,8,KPME Karnataka Portal,2026-01-19T09:50:42.534023
Pragathi Scanning Centre,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#1303, Y M Gopalappa Building, Opposite BDK Complex, B B road, Yelahanka Old Town",,BLU03343ALCDS,09 May 2027,8,KPME Karnataka Portal,2026-01-19T09:50:42.625527
AAYANA DIAGNOSTIC CENTRE,Medical Diagnostic Laboratory,Allopathy,"D/NO 7/593, UJJINI ROAD, KOTTUR TALUK, VIJAYANAGARA DISTRICT",,BEL00309ALMDL,22 Apr 2027,8,KPME Karnataka Portal,2026-01-19T09:50:42.677003
SHARANA BASAVA DANTHALAYA,Clinic/Polyclinic with Dispensary,Allopathy,SHAHAPUR,,YDR00427ALCWD,07 Feb 2027,8,KPME Karnataka Portal,2026-01-19T09:50:42.706546
SHREE GURU DIAGNOSTIC SCANNING CENTRE,Diagnostic Imaging Centre,Allopathy,"NO.03, AL-AZEEZ MULTI STOREYARD COMPLEX, RAZVI ROAD, Tq.ALAND DIST.KALABURAGI-585302",KALABURAGI,GLB00591ALDIC,14 Jul 2027,8,KPME Karnataka Portal,2026-01-19T09:50:42.767632
Kiran Hospital and Diagnostics,Hospital (Level 1A),Allopathy,"opposite to Govt Girls PU college ,M G road Srinivaspur.Kolar",KOLAR,KLR00138ALH1A,12 Jun 2027,8,KPME Karnataka Portal,2026-01-19T09:50:42.872584
JYOTHI HOMOEO CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,BHARATHI STREET SRINGERI 577139,,CKM00352HOCOC,08 Jan 2029,8,KPME Karnataka Portal,2026-01-19T09:50:42.978490
AYUR AROGYAM,AYUSH Therapy Centre,Ayurveda,"NO 26, 2ND MAIN SUBRAMANYAPURA MAIN ROAD, UTTARAHALLI, BANGALORE-560061",BANGALORE,BLU03079AYATC,24 Feb 2027,8,KPME Karnataka Portal,2026-01-19T09:50:43.076099
LIFE HEALTH CARE AND LAB,Clinic/Polyclinic with Diagnostic Support,Allopathy,"# 1/35, GAJANANA COMPLEX TENT CIRCLE KYATHAMARANAHALLI, MYSORE",MYSORE,MYS00479ALCDS,26 May 2027,8,KPME Karnataka Portal,2026-01-19T09:50:43.168788
SHREE VINAYAK MULTISPECIALITY CLINIC,Clinic/Polyclinic with Dispensary,Allopathy,"Near LIC Circle, Navanagar, BAGALKOT",,BGK00416ALCWD,17 Jun 2027,8,KPME Karnataka Portal,2026-01-19T09:50:43.266318
GOROSHI SCAN AND DIAGNOSTIC CENTER,Clinic/Polyclinic with Diagnostic Support,Allopathy,"R.S. NO. 191/1/F, BASAV NAGAR, GOKAK",,BLG00680ALCDS,30 Mar 2027,8,KPME Karnataka Portal,2026-01-19T09:50:43.367153
padmashree nursing and maternity home,Hospital (Level 1B),Allopathy,"No.1108/30, 10th Main, RPC Layout, Vijaynagar 2nd Stage, Bangalore-560104",BANGALORE,BLU03119ALH1B,08 Mar 2027,8,KPME Karnataka Portal,2026-01-19T09:50:43.464187
APOORVA DIAGNOSTIC AND HEALTH CARE,Diagnostic Imaging Centre,Allopathy,"A UNIT OF VITTALS MEDICARE PRIVATE LIMITED, 190/1, 6TH MAIN, DEFENCE COLONY, INDIRANAGAR, BANGALORE",BANGALORE,BLU03279ALDIC,10 Apr 2027,8,KPME Karnataka Portal,2026-01-19T09:50:43.559887
MEDI TECH CT SCAN CENTER,Diagnostic Imaging Centre,Allopathy,OPP KEB HOSAHOLALU ROAD K R PETE,,MAN00223ALDIC,27 Apr 2027,8,KPME Karnataka Portal,2026-01-19T09:50:43.652834
JSS AYURVEDA MEDICAL COLLEGE AND HOSPITAL,Hospital (Level 4)(Teaching),Ayurveda,"41/E, LALITHADRIPURA ROAD, ALANAHALLI, MYSURU",MYSURU,MYS00431AYHL4,18 May 2027,8,KPME Karnataka Portal,2026-01-19T09:50:43.745293
SUNANDA EYE Hospital,Clinic/Polyclinic Only Consultation,Allopathy,"N0.650A, ground floor, Keerthi arcade, Road, opp Canara bank Shankar Mutt Road, KR.Puram. Hassan-573201",HASSAN,HSN00143ALCOC,17 May 2027,8,KPME Karnataka Portal,2026-01-19T09:50:43.848481
HOLYCROSSHOSPITAL,Hospital (Level 2),Allopathy,"KAMAGERE, KOLLEGAL TALUK CHAMARAJANAGAR DISTRICT",,CNR00036ALHL2,02 Mar 2027,8,KPME Karnataka Portal,2026-01-19T09:50:43.955162
V SCANS AND IMAGING CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"F3,1ST FLOOR ,CKR COMPLEX,SEEGEHALLI VILLAGE ,BANGALORE-560067,",BANGALORE,BLU03051ALCDS,22 Feb 2027,8,KPME Karnataka Portal,2026-01-19T09:50:44.070924
Sai fertility centre,Clinic/Polyclinic Only Consultation,Allopathy,"Opp boob bhavan, behind Jain temple,beroon quilla,raichur",RAICHUR,RCR00062ALCOC,13 Mar 2027,8,KPME Karnataka Portal,2026-01-19T09:50:44.186507
S J HOSPITAL,Hospital (Level 1B),Allopathy,CHANNABASAVA NAGAR RAVINDRA SCHOOL CROSS KUMBARWADA ROAD BIDAR,BIDAR,BDR00133ALH1B,12 Jun 2027,8,KPME Karnataka Portal,2026-01-19T09:50:44.246203
AGASTHYA AYURVEDA AND PANCHAKARMA CLINIC,AYUSH Therapy Centre,Ayurveda,Opp. Vishnumurthy Petrol Bunk Soorebettu Cross Cherkady Brahmavara,,UDP00641AYATC,30 Mar 2027,8,KPME Karnataka Portal,2026-01-19T09:50:44.271887
CARE AND CURE HOSPITAL,Hospital (Level 1A),Allopathy,BEHIND NEW DR JADHAV HOSPITAL BHALKI,,BDR00123ALH1A,19 Apr 2027,8,KPME Karnataka Portal,2026-01-19T09:50:44.301240
RAOS CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,PADMASHREE VIVEKANANDA MARG AJJARKAD UDUPI 1,UDUPI,UDP00659AYCWD,31 Mar 2027,8,KPME Karnataka Portal,2026-01-19T09:50:44.339666
Sri sathya sai clinic,Clinic/Polyclinic Only Consultation,Allopathy,#127 3rd cross NES Extention malavalli,,MAN00243ALCOC,14 Jul 2027,8,KPME Karnataka Portal,2026-01-19T09:50:44.435930
Sri Renuka Multi Speciality Hospital,Hospital (Level 1B),Allopathy,Opp Bus-stand Adharsha Colony Sindhanur,,RCR00013ALH1B,02 Mar 2026,8,KPME Karnataka Portal,2026-01-19T09:50:44.546383
M/s. SUNITHA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"#276,1st Main Road, 3rd Cross, Rajagopal nagar, Peenya 2nd Stage, Bengaluru-560058",BENGALURU,BLU01421ALCOC,27 Jan 2026,8,KPME Karnataka Portal,2026-01-19T09:50:44.639932
MUHAMMED SULAIMAN CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"MAIN ROAD, OPP COWL BAZAAR POLICE STATION, COWL BAZAAR",,BEL00168ALCOC,16 Apr 2026,8,KPME Karnataka Portal,2026-01-19T09:50:44.698246
THE DENTAL LOUNGE CLINIC,Dental Lab or Clinic,Allopathy,"MONICIA HAILL VIEW , BEHIND URWA STORE BUS STAND MANGALORE",MANGALORE,DKA00746ALDEN,31 Mar 2027,8,KPME Karnataka Portal,2026-01-19T09:50:44.765990
KREA DENTAL,Dental Lab or Clinic,Allopathy,"#731,7th main, RBI layout, JP nagar 7th phase, Bangalore, 560078",BANGALORE,BLU01485ALDEN,08 Feb 2026,8,KPME Karnataka Portal,2026-01-19T09:50:44.852442
Vinayaka diagnostic centre,Diagnostic Imaging Centre,Allopathy,"Benaka, gurupura kaikamba, post kinnilambla, Mangalore taluk",MANGALORE,DKA00630ALDIC,10 Jan 2027,8,KPME Karnataka Portal,2026-01-19T09:50:44.970326
IMAX DIAGNOSTICS,Medical Diagnostic Laboratory,Allopathy,"# 608, 5th ‘A’ Cross, opposite Royal Concorde International School, 2nd Block, HRBR Layout, Banaswadi, Kalyan Nagar Bangalore - 560043.",BANGALORE,BLU01390ALMDL,18 Jan 2026,8,KPME Karnataka Portal,2026-01-19T09:50:45.072494
GUDI SKIN CARE CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"AKULACHALAMAIAH STREET, KAPPAGAL ROAD,",,BEL00126ALCOC,04 Mar 2026,8,KPME Karnataka Portal,2026-01-19T09:50:45.183255
Apoorva Hospital,Hospital (Level 1A),Allopathy,Abhilash layout. B.H Road,,CBR00032ALH1A,31 Mar 2026,8,KPME Karnataka Portal,2026-01-19T09:50:45.314003
PADMA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"# 39, THEOBALD RAOD, NAZARBAD, MYSORE - 570010",MYSORE,MYS02065ALCOC,25 Nov 2030,8,KPME Karnataka Portal,2026-01-19T09:50:45.417171
LAKSHMI EYE HOSPITAL,Clinic/Polyclinic Only Consultation,Allopathy,"CSI HOSPITAL ROAD, CHIKKABALLAPUR",,CBR00031ALCOC,31 Mar 2026,8,KPME Karnataka Portal,2026-01-19T09:50:45.511770
Sri Sai Ram Clinic,Clinic/Polyclinic with Observation,Ayurveda,No 19 at vv extention kaveri nagar 1st cross kannurahalli road hosakote,,BLR00425AYCWO,02 Aug 2028,8,KPME Karnataka Portal,2026-01-19T09:50:45.623452
SWASTIC CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"Bangalore Road, Bandimote",BANGALORE,BEL00512ALCOC,31 Jul 2028,8,KPME Karnataka Portal,2026-01-19T09:50:45.742945
DR MURTHYS CLASSICAL HOMOEOPATHY HOSPITAL,Clinic/Polyclinic with Observation,Homeopathy,Opposite to old bus stand B B road,,YDR00087HOCWO,22 May 2026,8,KPME Karnataka Portal,2026-01-19T09:50:45.860744
Sagri Lab,Medical Diagnostic Laboratory,Allopathy,"Vidya complex, station Road, Yadgir",YADGIR,YDR00391ALMDL,20 Dec 2026,8,KPME Karnataka Portal,2026-01-19T09:50:45.987136
SUSHRUTA AYURVEDA HOSPITAL AND RESEARCH CENTRE,Clinic/Polyclinic with Observation,Ayurveda,"Kanyal Building, Sorabadmath Galli, Victoria Road, Hubballi-580020.",,DWR00477AYCWO,27 Aug 2027,8,KPME Karnataka Portal,2026-01-19T09:50:46.099086
JAYASHREE NETHRALAYA AND FAMILY CLINIC,Clinic/Polyclinic with Observation,Allopathy,"Venkata Sai Nilayam, M1, 2nd Main, Urban Clusters Layout, T C Palya, K R Puram. Bengaluru-560036",BENGALURU,BLU02508ALCWO,15 Oct 2026,8,KPME Karnataka Portal,2026-01-19T09:50:46.207319
Shroff dental clinic and Orthodontic center,Dental Lab or Clinic,Allopathy,"Brigade Links, G-6, 1st Main Rd, Seshadripuram, Bengaluru, Karnataka 560020",BENGALURU,BLU01430ALDEN,29 Jan 2026,8,KPME Karnataka Portal,2026-01-19T09:50:46.301938
BHAGYASHRI DENTAL CLINIC,Dental Lab or Clinic,Allopathy,#250 BHAGYASHRI ANNAPURNESHWARI TEMPLE ROAD RHCS LAYOUT,,BLU01480ALDEN,08 Feb 2026,8,KPME Karnataka Portal,2026-01-19T09:50:46.394766
NATURE CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,ARISHINAKUNTE,,BLR00046AYCOC,16 Sep 2026,8,KPME Karnataka Portal,2026-01-19T09:50:46.418815
Asha Dental Care,Dental Lab or Clinic,Allopathy,"Dr. Leela N S, Asha Dental Care, 1st floor, Halappa Circle, BH Road, Bhadravathi",,SMG00065ALDEN,25 Oct 2026,8,KPME Karnataka Portal,2026-01-19T09:50:46.448422
VG Diagnostic,Medical Diagnostic Laboratory,Allopathy,Plot No 28 Udagi Road Sedam.,,GLB00143ALMDL,10 Feb 2026,8,KPME Karnataka Portal,2026-01-19T09:50:46.481849
2,1,1 2 3 4 5 6 7 8 9 10 ...,3,,5,4,8,KPME Karnataka Portal,2026-01-19T09:50:46.591014
3,2,1,4,,6,5,8,KPME Karnataka Portal,2026-01-19T09:50:46.692266
Shree Annadani Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,No.180/2 Near Bus Stop Hosur Main Road Singasandra Bengaluru,BENGALURU,BLU02157AYCOC,03 Aug 2026,9,KPME Karnataka Portal,2026-01-19T09:50:50.421263
Nimishamba Ayur Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"#967, 7th Main, 1st Stage, Hebbal, Mysore.",MYSORE,MYS00609AYCOC,07 Jul 2027,9,KPME Karnataka Portal,2026-01-19T09:50:50.486822
RAAGHU DIAGNOSTIC LABORATORY,Medical Diagnostic Laboratory,Allopathy,"GURU SHREE, 1ST CROSS, CSI LAYOUT , BEHIND GAYATHRI TALKIES AND MALABAR GOLD SHOP, B.H.ROAD, TUMAKURU-572102",TUMAKURU,TMK00189ALMDL,29 Jul 2026,9,KPME Karnataka Portal,2026-01-19T09:50:50.572549
Akshay Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,EETI Complex Madalagatta Circle Huvinahadagali,,BEL00278AYCOC,22 Nov 2026,9,KPME Karnataka Portal,2026-01-19T09:50:50.669764
DR.SOWMYAS CHILD CARE CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"No.11, Muddinapalya Main Road, BEL Layout, 1st Stage, Magadi Road, Bangalore - 560091",BANGALORE,BLU02098ALCOC,13 Jul 2026,9,KPME Karnataka Portal,2026-01-19T09:50:50.762776
Ashwini Health Centre,Clinic/Polyclinic Only Consultation,Ayurveda,No.88/1 Chikka Begur Gate 7th Mile Hosur Road Bengaluru,BENGALURU,BLU02221AYCOC,18 Aug 2026,9,KPME Karnataka Portal,2026-01-19T09:50:50.853829
SPECIALITY DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"1ST FLOOR ESSEL CHAMBERS, OPP. MEDICARE CENTRE, KARANGALPADY, MANGALORE",MANGALORE,DKA00612ALDEN,12 Dec 2026,9,KPME Karnataka Portal,2026-01-19T09:50:50.931160
SGESS DR. N. A. MAGADUM AYURVEDIC MEDICAL COLLEGE HOSPITAL RESEARCH CENTRE ANKALI.,Hospital (Level 4)(Teaching),Ayurveda,A/p Ankali Taluk Chikodi District Belagavi,BELAGAVI,BLG00430AYHL4,01 Oct 2026,9,KPME Karnataka Portal,2026-01-19T09:50:50.961486
SHREE DURGA DENTAL CLINIC,Dental Lab or Clinic,Allopathy,IB ROAD KUSHALNAGARA,,KDG00078ALDEN,26 Jun 2027,9,KPME Karnataka Portal,2026-01-19T09:50:51.003999
ENT CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"ENT CLINIC, RAAG LALITH BUILDING, K.M. MARG, UDUPI",UDUPI,UDP00469ALCOC,28 Nov 2026,9,KPME Karnataka Portal,2026-01-19T09:50:51.081531
SHANKARA RETINA CARE,Clinic/Polyclinic Only Consultation,Allopathy,NITTUVALLI ROAD SAYSAM LAYOUT SIDDESHWARA MILL COMPOUND,,DVG00291ALCOC,30 Mar 2027,9,KPME Karnataka Portal,2026-01-19T09:50:51.171798
Shanthi Clinic,Clinic/Polyclinic with Dispensary,Integrated System,"9th Cross, T.K.Layout, Mysore.",MYSORE,MYS00607ISCWD,07 Jul 2027,9,KPME Karnataka Portal,2026-01-19T09:50:51.246696
Sneha clinic,Clinic/Polyclinic with Dispensary,Ayurveda,Sneha clinic. Hura NANJANGUD taluk,,MYS00711AYCWD,01 Nov 2027,9,KPME Karnataka Portal,2026-01-19T09:50:51.332816
AMARA SKIN CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"No.1065/a12, 2nd Floor, 9th Main, Devarachikkanahalli, Bangalore - 560076",BANGALORE,BLU02089ALCOC,11 Jul 2026,9,KPME Karnataka Portal,2026-01-19T09:50:51.421340
Medlife Diagnostic centre,Medical Diagnostic Laboratory,Allopathy,"1-26/10, T S Complex, K C Nagar, K C Road, Talapady Post",,DKA00504ALMDL,01 Aug 2026,9,KPME Karnataka Portal,2026-01-19T09:50:51.501558
RAVI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"NO.45/1, NGOS COLONY, KAMALA NAGAR, BANGALORE-560079.",BANGALORE,BLU02272AYCOC,23 Aug 2026,9,KPME Karnataka Portal,2026-01-19T09:50:51.543785
LIFE INN HEALTHCARE AND DIAGNOSTIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"4M-409, Govinda Narayani Plaza, East of NGEF Layout, Dooravani Nagar, Near Airtel Office, Ramamurthy Nagar, Bangalore - 560016",BANGALORE,BLU02088ALCDS,11 Jul 2026,9,KPME Karnataka Portal,2026-01-19T09:50:51.587966
Align & Smile Orthodontic & Multispeciality Dental Clinic,Dental Lab or Clinic,Allopathy,"No 31/1A1, ekam boutique Behind star market ,Balagere main road Balagere , Panathur ,Bangalore 560087",BANGALORE,BLU02321ALDEN,07 Sep 2026,9,KPME Karnataka Portal,2026-01-19T09:50:51.680169
SRI RANGANATHA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"Post Office Road, Srirampura, Hosadurga Taluk 577542 Chitradurga District",CHITRADURGA,CTR00114AYCOC,03 Aug 2026,9,KPME Karnataka Portal,2026-01-19T09:50:51.768510
MONA CLINIC & LAB,Clinic/Polyclinic Only Consultation,Allopathy,"Ward Office Road, E Block 2nd Stage, Rajajinagar",,BLU05010ALCOC,13 Jul 2028,9,KPME Karnataka Portal,2026-01-19T09:50:51.859640
SHRI GURU CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,SHIVAJI CIRCLE MUDHOL DIST BAGALKOT,,BGK00163AYCOC,03 Oct 2026,9,KPME Karnataka Portal,2026-01-19T09:50:51.936524
H D BAGWAN MEMORIAL CHILDREN HOSPITAL,Hospital (Level 1B),Allopathy,"BEHIND CENTRAL BUS STAND, SAQAF ROZA ROAD, VIJAYPUR",,BIJ00231ALH1B,19 Aug 2026,9,KPME Karnataka Portal,2026-01-19T09:50:52.024829
SRI DURGA CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,196/C DON COMPLEX TRASI POST KUNDAPURA TALUK,,UDP00448AYCWD,28 Nov 2026,9,KPME Karnataka Portal,2026-01-19T09:50:52.117204
SAGAR NURSING HOME AND LASER CENTER,Hospital (Level 2),Allopathy,"NEAR JAIL CIRCLE, 1ST CROSS, ACHUTH RAO LAYOUT SHIVAMOGGA - 577 201.",SHIVAMOGGA,SMG00130ALHL2,23 Dec 2026,9,KPME Karnataka Portal,2026-01-19T09:50:52.208975
Sri Mahadeshwara Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Kolipalya Village, Mukan palya Post, Chamarajanagar Taluk DIst",,CNR00019AYCOC,15 Aug 2026,9,KPME Karnataka Portal,2026-01-19T09:50:52.299008
VIDYANAGAR DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"VIDYANAGAR, BH ROAD, SHIVAMOGGA.",SHIVAMOGGA,SMG00134ALDEN,23 Dec 2026,9,KPME Karnataka Portal,2026-01-19T09:50:52.389500
KIRAN DIAGNOSTIC & CONSULTATION CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,NEAR DISTRICT HOSPITAL TURUVANUR ROAD CHITRADURGA,CHITRADURGA,CTR00109ALCDS,03 Aug 2026,9,KPME Karnataka Portal,2026-01-19T09:50:52.478821
Hawaldar Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Timmapur,Shiggaon,Haveri,581205",HAVERI,HVR00197AYCOC,18 Aug 2026,9,KPME Karnataka Portal,2026-01-19T09:50:52.574093
Vaxiassist Health Initiatives Pvt Ltd,Clinic/Polyclinic with Observation,Allopathy,"#18/2A, 1st floor, Ambalipura, Sarjapur main road, Bellandur gate, Bengaluru",BENGALURU,BLU02645ALCWO,28 Nov 2026,9,KPME Karnataka Portal,2026-01-19T09:50:52.667167
MANGALORE CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"#-59-20, Ghalib Street, Lashkar Mohalla, Near Govt. School, Shimoga",,SMG00085ALCOC,23 Nov 2026,9,KPME Karnataka Portal,2026-01-19T09:50:52.754943
VAM HOSPITAL,Hospital (Level 2),Allopathy,"OOTY-MYSORE ROAD, GUDNLUPET TOWN CHAMARAJANAGAR DISTRICT",MYSORE,CNR00045ALHL2,13 Jul 2027,9,KPME Karnataka Portal,2026-01-19T09:50:52.843646
HEMAHEALTHCARE,Medical Diagnostic Laboratory,Allopathy,Araleri Road Malur town Malur,,KLR00099ALMDL,16 Feb 2027,9,KPME Karnataka Portal,2026-01-19T09:50:52.942179
Aruna Clinic,Clinic/Polyclinic with Observation,Allopathy,"No.314, 7th Main, HRBR Layout, Kalyannagar, Bengaluru-560043",BENGALURU,BLU01125ALCWO,12 Nov 2025,9,KPME Karnataka Portal,2026-01-19T09:50:53.008356
KASTURI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"CHITTAVALI CHOWK, TQ. CHITTAPUR DIST.KALABURAGI-585211",KALABURAGI,GLB00205AYCOC,17 May 2026,9,KPME Karnataka Portal,2026-01-19T09:50:53.104615
GOBBUR HOSPITAL VIJAYAPUR,Hospital (Level 2),Allopathy,SHRINAGAR COLONY SOLAPUR ROAD VIJAYAPUR,,BIJ01642ALHL2,07 Jan 2031,9,KPME Karnataka Portal,2026-01-19T09:50:53.197603
Lakshmi Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"LG04No 38 Smart Avenue complex, Nehru Road Kammanahalli",,BLU12626AYCOC,14 Nov 2030,9,KPME Karnataka Portal,2026-01-19T09:50:53.292608
SAPTHAGIRI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"Nanjundeshwara Building, Maruthinagara, Kempapura Road, Chikkabanavara, Bangalore",BANGALORE,BLU03674AYCOC,06 Sep 2027,9,KPME Karnataka Portal,2026-01-19T09:50:53.384784
JYOTI EYE CARE CENTRE,Clinic/Polyclinic Only Consultation,Allopathy,OPP .PKGB BANK BUTNAL ROAD TQ. JEWARGI DIST. KALABURAGI-585310,KALABURAGI,GLB00011ALCOC,13 Oct 2025,9,KPME Karnataka Portal,2026-01-19T09:50:53.477060
KAYAKA HOSPITAL,Hospital (Level 2),Allopathy,RAJAPUR ROAD PRASHANTH NAGAR KALBURGI,,GLB00274ALHL2,14 Jul 2026,9,KPME Karnataka Portal,2026-01-19T09:50:53.570619
NANDI CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,GADI ONI TMC ROAD NARGUND,,GDG00133AYCWD,12 Jul 2027,9,KPME Karnataka Portal,2026-01-19T09:50:53.637972
SRI KRISHNA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"#2, Coming Road, Near big Vegetable Market, Opp Neelakanteshwara Temple",,BEL00383ALCOC,26 Sep 2027,9,KPME Karnataka Portal,2026-01-19T09:50:53.680650
Pavan Specialist Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"#10, 3rd Cross, Jai bharath nagar, Banasawadi main road, Bangalore",BANGALORE,BLU04591ALCOC,23 Apr 2028,9,KPME Karnataka Portal,2026-01-19T09:50:53.747876
SHRI DHANVANTARI CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,DANDAPUR STREET 7TH GALLI NARGUND,,GDG00143AYCWD,04 Aug 2027,9,KPME Karnataka Portal,2026-01-19T09:50:53.797915
SHREYA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"PRIYA BUILDING,OPP LAW COLLEGE,KAPPAGAL ROAD,BALLARI",BALLARI,BEL00181ALCOC,16 Apr 2026,9,KPME Karnataka Portal,2026-01-19T09:50:53.902809
DIVYA SKIN COSMODERM LASER CLINIC,Clinic/Polyclinic with Observation,Allopathy,"SHOP NO 12, WARD NO 20, T G LAYOUT, MOKA ROAD, GANDHI NAGAR",,BEL00347ALCWO,13 Jun 2027,9,KPME Karnataka Portal,2026-01-19T09:50:53.985568
SHARADA HOSPITAL,Hospital (Level 2),Allopathy,SHARADA HOSPITAL OPP CORPORATION BANK PARAMANNA LAYOUT NELAMANGALA BANGALORE,BANGALORE,BLR00037ALHL2,12 Aug 2026,9,KPME Karnataka Portal,2026-01-19T09:50:54.010621
JEEVAN DIAGNOSTIC LABORATORY,Medical Diagnostic Laboratory,Allopathy,"Shop No 2, Opp Old Remand Home, Siruguppa Road",,BEL00302ALMDL,04 Jan 2027,9,KPME Karnataka Portal,2026-01-19T09:50:54.048602
Ganga nursing home,Hospital (Level 1B),Allopathy,"Ganga nursing home ,cts no -190/1a ,plot no 1 and 2",,BLG00296ALH1B,08 Jun 2026,9,KPME Karnataka Portal,2026-01-19T09:50:54.145836
SUSHANTH CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,OPP PRABHAT THEATER GANESH TEMPLE STREET,,BEL00476ALCOC,22 May 2028,9,KPME Karnataka Portal,2026-01-19T09:50:54.246236
Ashwini Homeo Clinic,Clinic/Polyclinic with Dispensary,Homeopathy,"1622, 5th B Cross, 17 Main, BSK 1st Stage, 2nd Block, Hanumant Nagar, Mysore Bank Colony, Phase 1, Banashankari Stage I, Banashankari, Bengaluru, Karn",BENGALURU,BLU08380HOCWD,04 Aug 2029,9,KPME Karnataka Portal,2026-01-19T09:50:54.340755
Ashwini Family Clinic,Clinic/Polyclinic Only Consultation,Integrated System,"#61/2, 6th Cross, S.P Extension, Malleshwaram",,BLU13268ISCOC,07 Jan 2031,9,KPME Karnataka Portal,2026-01-19T09:50:54.427387
Adarsh Clinic,Clinic/Polyclinic with Dispensary,Ayurveda,"C/O Nagesh Naik, Near HPS Vannalli, Vannalli, Kumta",,UKA00048AYCWD,20 Sep 2026,9,KPME Karnataka Portal,2026-01-19T09:50:54.514805
